Startup,URL,Business Description,Funding Stage, Total funding (US$),Opportunity Space,Opportunity Space 2,Founded,Country,Industry,Maturity,Competitor,Competitor Category,Acquisition Cost (US$),Activity/Acquisition Time
Remrise,https://getremrise.com/,"Service to move users off medicated sleep aids, using a combination of traditional herbal supplements and improvements to sleep hygiene via data analysis with an app.",Seed,"8,200,000",Improving Sleep,,2018,USA,,,,,,
Beddit,https://www.beddit.com/,"Beddit is a thin smart sensor that users places under their bed sheet while sleeping. After waking up the user gets a report on their sleep quality, heart rate, breathing rhythm, movement, sleep stages, snoring, and the sleeping environment as well as noise level and light measured. Using the wellness coach, helps the user improve their sleep quality and health. Supports iOS and Android. Raised more than $500k on a goal of $80k with nearly 4000 backers on Indiegogo.",Acquired,8000000,Improving Sleep,,2007,Finland,,,,,,
Sonmox,https://meetsomnox.com/,Sleep robot/pillow,Undisclosed,,Improving Sleep,,2006,Netherlands,,,,,,
The Nue Co,https://www.thenueco.com/products/sleep-drops,"The Nue Co is engaged in manufacturing and marketing of probiotic and prebiotic supplements. Products offered include vitamin C supplement, energy supplement, digestive health supplements, plant protein, milk protein, probiotic and prebiotic supplements, etc. The company sells its products online.",Series A,10500000,Improving Sleep,,2017,England,,,,,,
Scentee,https://scentee-machina.com/,"Japanese start-up Scentee is developing a “smart” diffuser that can be controlled by a smartphone so users can change the scent according to their mood via an app—but, even more interestingly, users can set diffusers to activate at certain times, so, for example, your bedside diffuser can start your day with energizing aromas and end your day with your favorite sleep aroma. ",Undisclosed,,Improving Sleep,,2011,Japan,,,,,,
Vasayo,https://vasayo.com/,"Vasayo is engaged in developing and manufacturing a range of liposomal nutritional supplements. The liposomal layers helps active nutrients to pass through the harsh environment of digestive system intact for better absorption. The company has a portfolio of 7 nutritional supplements which include microlife core essentials (multivitamin and trace mineral complex), microlife neuro (healthy brain function), microlife energy, microlife renew (enhanced mobility and flexibility within joints), and microlife sleep. The company is looking to develop more products in the near future.",Seed,"2,300,000",Improving Sleep,,2016,USA,,,,,,
HVMN,https://hvmn.com/,"HVMN is engaged in developing and manufacturing nootropics and health supplements. The company hasw a portfolio of 4 supplement products which include Rise (daily nootropic), Kado-3 (omega-3), Sprint (energy), and Yawn (optimize sleep). ",Series A,"7,890,000",Energizing,,2001,USA,,,,,,
Good Day Chocolate,https://www.gooddaychocolate.com/,"Good Day Chocolate is engaged in manufacturing and marketing health chocolates containing natural, non-gmo and pharmaceutical grade nutraceuticals mixed with dark and milk chocolate combinations. The company has a portfolio of 5 products which include calm supplement, energy supplement, sleep supplement, vitamin D3 supplement and turmeric supplement.",Series A,"6,850,000",Relieving Stress,,2012,USA,,,,,,
Oura,https://ouraring.com/,"Oura provides a wearable ring that enables the user to learn how lifestyle affects the quality of sleep and performance. The ring analyzes the quality of rest and recovery by measuring heart rate (optically), respiration rate, body temperature, and movement. It identifies deep sleep, REM sleep, light sleep, and periods of wakefulness. This information is used to create nightly sleep profiles and to gauge the quality of your sleep. ",Series A,20000000,Improving Sleep,,2013,Finland,,,,,,
LumosTech,https://lumos.tech/,LumosTech is working in the field of developing consumer solutions sleeping disorders. The company's product is a smart sleeping mask that treats jet lags. The mask uses low-intensity light flashes to adjust the body’s internal clock and restore user's sleep cycle naturally.,Seed,1000000,Improving Sleep,,2013,USA,,,,,,
Sleepio,https://www.sleepio.com/,"Sleepio, a product of Big Health, is a six-week online program claims to be proven to help people with long-term sleep problems to sleep well without using any pills. Sleepio is based on cognitive behavioral therapy and supported by peer-reviewed research. A virtual sleep expert, The Prof, guides the user through six weekly sessions which are automatically personalized to each user based on data collected from wearable devices.",Undisclosed,,Improving Sleep,,2010,USA,,,,,,
Food for Sleep,https://www.foodforsleep.com/,"Food for Sleep provides energy beverages. Their beverages contain amino acid, cherry juice, antioxidants, whey peptides, rice starch, maltodextrin, citric acid, vitamins, and other nutrients. The drinks are meant for energy, sleep, and recovery.",Undisclosed,,Improving Sleep,,2012,USA,,,,,,
Dreem,https://dreem.com/en,"Dreem offers Dreem2, a wearable device developed by a company called Rythm for tracking and improving the sleep quality of the user. The device developed has an EEG sensor that can monitor the brain activity of the user. This data can be visualized using a companion mobile application and can be used to measure and monitor the sleep quality of the user. The device also uses a non-invasive sound stimulation technology that influences the user's brain to remain in deep sleep for a longer time.",Series B,60000000,Improving Sleep,Personalised sleep remedies,2014,France,,,,,,
Learninig to Sleep,https://www.learningtosleep.se/,Learning To Sleep offers a mobile-based 5-week sleep program which can be completed by the patient alone or in consultation with a therapist. The company's program is an evidence-based Cognitive Behaviour Therapy (CBT) intended to change the behaviour of people. The company claims that studies revealed that 9 out of 10 can overcome sleep problems using the company's program. ,Seed,1500000,Improving Sleep,Sleeping pills alternatives,2011,Sweden,,,,,,
Dayzz,https://dayzz.com/,"Dayzz is an app offering sleep training plans for improving sleep. The app tracks the daily habits, sleep schedules, and lifestyle of the user from wearable devices to analyze and provide personalized sleep improvement programs. The app creates programs based on the type of sleep disorder using algorithms and modifies the programs based on the progress. The app tracks the sleep data to analyze the progress and provide real-time reports, statistics, and insights. The app also offers reminders, tips and customized challenges for sleep management.",Undisclosed,,Improving Sleep,Sleeping pills alternatives,2017,Israel,,,,,,
Awarables,https://www.awarables.com/,Awarables provides wearable and mobile app for identifying and treating sleep disorders via coaching and behavior modification. ,Seed,500000,Improving Sleep,Personalised sleep remedies,2013,USA,,,,,,
Frasen,http://www.frasen.com/,Sleep mask to monitor sleep and improve sleep quality,Undisclosed,,Improving Sleep,,2010,South Korea,,,,,,
REM-fit,https://remfit.com/,"REM-Fit is a manufacturer of mattresses and smart pillows. Its products include memory foam mattresses, innerspring mattresses and smart pillows. It sells products online. The smart pillow tracks the user's sleep quality and tracked using the app. The app can be used to stream music to improve sleep quality and stop snoring.",Unfunded,,Improving Sleep,Sleep Tech,2011,USA,,,,,,
Naptime,https://www.bestnaptime.com/home,"Naptime is a sleeping mask developed by Entertech. The mask uses an integrated dry EEG electrode to detect the brain activity and wakes up the user in their light sleep phase after 20 minutes of sleep. The device also has earphones which play music from the user's phone according to their mood and turns on white noise when the user falls asleep. Also, the app monitors user's brain activity and learns which songs help the user in improving their sleep quality.",Undisclosed,,Improving Sleep,,2014,China,,,,,,
Pegasi,https://www.pegasiglass.net/,Shenzhen Qianhai Icecold has developed smart sleep glasses and connected app for monitoring sleep and improving the quality of sleep. The smart glasses use the light to stimulate the Biological regulator(SCN) of the brain which adjusts the melatonin secretion for managing the biological rhythm of the body essential for improving sleep quality. The connected app is used to track and monitor sleep data.,Undisclosed,,Improving Sleep,,2016,China,,,,,,
